id,name,specialization,contact
0,William Johnson,Nephrology,9820270096
1,Charles Lopez,Orthopedics,1136745685
2,Nancy Martinez,Ophthalmology,6450886039
3,Sarah Anderson,Cardiology,3235538419
4,Maria Gonzalez,Ophthalmology,5826401703
5,Elizabeth Moore,Radiology,6619637604
6,Ronny Moore,Orthopedics,5279634617
7,Maria Martinez,Nephrology,1558686032
8,Linda Johnson,Gynecology,0810430548
9,Sarah Gonzalez,Pediatrics,8781756469
10,Daniel Martinez,Pediatrics,5291061707
11,Maria Rodriguez,Ophthalmology,8690816778
12,Jessica Moore,Pediatrics,8058170679
13,Ronny Garcia,Radiology,7509748812
14,Richard Taylor,Psychiatry,2342958243
15,Linda Anderson,Psychiatry,8607436116
16,Ronny Williams,Psychiatry,3315487002
17,James Moore,Pulmonology,7660574049
18,Lisa Davis,Endocrinology,1504723171
19,Sarah Miller,Radiology,2564099535
20,David Martinez,Nephrology,3406126041
21,Richard Brown,Pulmonology,6235093770
22,Daniel Thomas,Ophthalmology,5292255699
23,Linda Lee,Dermatology,8855162140
24,Charles Wilson,Oncology,0681327653
25,Ronny Taylor,Cardiology,5635935221
26,Lisa Williams,Oncology,0533520556
27,Elizabeth Jones,Pediatrics,2579058572
